age,sex,province,education,income_family,place_birth_canada,n,cell_prop_of_division_total
30 to 44 years,Female,Newfoundland and Labrador,"University certificate, diploma or degree above the bachelor's level","$10,000 to $149,999",Born in Canada,26,3.476712046673522e-5
30 to 44 years,Female,Newfoundland and Labrador,"University certificate, diploma or degree above the bachelor's level","$10,000 to $149,999",Born outside Canada,1,1.3371969410282777e-6
30 to 44 years,Female,Newfoundland and Labrador,"University certificate, diploma or degree above the bachelor's level","$150,000 and more",Born in Canada,47,6.284825622832905e-5
30 to 44 years,Female,Newfoundland and Labrador,"University certificate, diploma or degree above the bachelor's level","$150,000 and more",Born outside Canada,1,1.3371969410282777e-6
30 to 44 years,Female,Prince Edward Island,Less than high school diploma or its equivalent,"Less than $25,000",Born in Canada,7,9.360378587197945e-6
30 to 44 years,Female,Prince Edward Island,Less than high school diploma or its equivalent,"$25,000 to $49,999",Born in Canada,8,1.0697575528226221e-5
30 to 44 years,Female,Prince Edward Island,Less than high school diploma or its equivalent,"$50,000 to $74,999",Born in Canada,1,1.3371969410282777e-6
30 to 44 years,Female,Prince Edward Island,Less than high school diploma or its equivalent,"$75,000 to $99,999",Born in Canada,1,1.3371969410282777e-6
30 to 44 years,Female,Prince Edward Island,Less than high school diploma or its equivalent,"$10,000 to $149,999",Born in Canada,1,1.3371969410282777e-6
30 to 44 years,Female,Prince Edward Island,Less than high school diploma or its equivalent,"$150,000 and more",Born in Canada,1,1.3371969410282777e-6
30 to 44 years,Female,Prince Edward Island,High school diploma or a high school equivalency certificate,"Less than $25,000",Born in Canada,7,9.360378587197945e-6
30 to 44 years,Female,Prince Edward Island,High school diploma or a high school equivalency certificate,"Less than $25,000",Born outside Canada,1,1.3371969410282777e-6
30 to 44 years,Female,Prince Edward Island,High school diploma or a high school equivalency certificate,"$25,000 to $49,999",Born in Canada,16,2.1395151056452443e-5
30 to 44 years,Female,Prince Edward Island,High school diploma or a high school equivalency certificate,"$25,000 to $49,999",Born outside Canada,2,2.6743938820565553e-6
30 to 44 years,Female,Prince Edward Island,High school diploma or a high school equivalency certificate,"$50,000 to $74,999",Born in Canada,16,2.1395151056452443e-5
30 to 44 years,Female,Prince Edward Island,High school diploma or a high school equivalency certificate,"$75,000 to $99,999",Born in Canada,14,1.872075717439589e-5
30 to 44 years,Female,Prince Edward Island,High school diploma or a high school equivalency certificate,"$10,000 to $149,999",Born in Canada,2,2.6743938820565553e-6
30 to 44 years,Female,Prince Edward Island,High school diploma or a high school equivalency certificate,"$150,000 and more",Born in Canada,2,2.6743938820565553e-6
30 to 44 years,Female,Prince Edward Island,"College, CEGEP or other non-university certificate or diploma","$25,000 to $49,999",Born in Canada,3,4.011590823084833e-6
30 to 44 years,Female,Prince Edward Island,"College, CEGEP or other non-university certificate or diploma","$50,000 to $74,999",Born in Canada,2,2.6743938820565553e-6
30 to 44 years,Female,Prince Edward Island,"College, CEGEP or other non-university certificate or diploma","$75,000 to $99,999",Born in Canada,2,2.6743938820565553e-6
30 to 44 years,Female,Prince Edward Island,"College, CEGEP or other non-university certificate or diploma","$10,000 to $149,999",Born in Canada,1,1.3371969410282777e-6
30 to 44 years,Female,Prince Edward Island,"College, CEGEP or other non-university certificate or diploma","$150,000 and more",Born in Canada,1,1.3371969410282777e-6
30 to 44 years,Female,Prince Edward Island,University certificate or diploma below the bachelor's level,"Less than $25,000",Born in Canada,6,8.023181646169666e-6
30 to 44 years,Female,Prince Edward Island,University certificate or diploma below the bachelor's level,"Less than $25,000",Born outside Canada,1,1.3371969410282777e-6
30 to 44 years,Female,Prince Edward Island,University certificate or diploma below the bachelor's level,"$25,000 to $49,999",Born in Canada,20,2.6743938820565553e-5
30 to 44 years,Female,Prince Edward Island,University certificate or diploma below the bachelor's level,"$25,000 to $49,999",Born outside Canada,1,1.3371969410282777e-6
30 to 44 years,Female,Prince Edward Island,University certificate or diploma below the bachelor's level,"$50,000 to $74,999",Born in Canada,25,3.3429923525706946e-5
30 to 44 years,Female,Prince Edward Island,University certificate or diploma below the bachelor's level,"$50,000 to $74,999",Born outside Canada,1,1.3371969410282777e-6
30 to 44 years,Female,Prince Edward Island,University certificate or diploma below the bachelor's level,"$75,000 to $99,999",Born in Canada,26,3.476712046673522e-5
30 to 44 years,Female,Prince Edward Island,University certificate or diploma below the bachelor's level,"$75,000 to $99,999",Born outside Canada,1,1.3371969410282777e-6
30 to 44 years,Female,Prince Edward Island,University certificate or diploma below the bachelor's level,"$10,000 to $149,999",Born in Canada,18,2.4069544938509e-5
30 to 44 years,Female,Prince Edward Island,University certificate or diploma below the bachelor's level,"$150,000 and more",Born in Canada,8,1.0697575528226221e-5
30 to 44 years,Female,Prince Edward Island,Bachelor's degree,"Less than $25,000",Born outside Canada,3,4.011590823084833e-6
30 to 44 years,Female,Prince Edward Island,Bachelor's degree,"$25,000 to $49,999",Born in Canada,5,6.685984705141388e-6
30 to 44 years,Female,Prince Edward Island,Bachelor's degree,"$50,000 to $74,999",Born in Canada,11,1.4709166351311055e-5
30 to 44 years,Female,Prince Edward Island,Bachelor's degree,"$50,000 to $74,999",Born outside Canada,1,1.3371969410282777e-6
30 to 44 years,Female,Prince Edward Island,Bachelor's degree,"$75,000 to $99,999",Born in Canada,11,1.4709166351311055e-5
30 to 44 years,Female,Prince Edward Island,Bachelor's degree,"$10,000 to $149,999",Born in Canada,33,4.412749905393317e-5
30 to 44 years,Female,Prince Edward Island,Bachelor's degree,"$150,000 and more",Born in Canada,12,1.6046363292339332e-5
30 to 44 years,Female,Prince Edward Island,"University certificate, diploma or degree above the bachelor's level","Less than $25,000",Born in Canada,1,1.3371969410282777e-6
30 to 44 years,Female,Prince Edward Island,"University certificate, diploma or degree above the bachelor's level","$50,000 to $74,999",Born in Canada,2,2.6743938820565553e-6
30 to 44 years,Female,Prince Edward Island,"University certificate, diploma or degree above the bachelor's level","$75,000 to $99,999",Born in Canada,6,8.023181646169666e-6
30 to 44 years,Female,Prince Edward Island,"University certificate, diploma or degree above the bachelor's level","$10,000 to $149,999",Born in Canada,3,4.011590823084833e-6
30 to 44 years,Female,Prince Edward Island,"University certificate, diploma or degree above the bachelor's level","$150,000 and more",Born in Canada,3,4.011590823084833e-6
30 to 44 years,Female,Nova Scotia,Less than high school diploma or its equivalent,"Less than $25,000",Born in Canada,37,4.9476286818046275e-5
30 to 44 years,Female,Nova Scotia,Less than high school diploma or its equivalent,"Less than $25,000",Born outside Canada,3,4.011590823084833e-6
30 to 44 years,Female,Nova Scotia,Less than high school diploma or its equivalent,"$25,000 to $49,999",Born in Canada,36,4.8139089877018e-5
30 to 44 years,Female,Nova Scotia,Less than high school diploma or its equivalent,"$25,000 to $49,999",Born outside Canada,3,4.011590823084833e-6
30 to 44 years,Female,Nova Scotia,Less than high school diploma or its equivalent,"$50,000 to $74,999",Born in Canada,21,2.8081135761593832e-5
30 to 44 years,Female,Nova Scotia,Less than high school diploma or its equivalent,"$75,000 to $99,999",Born in Canada,14,1.872075717439589e-5
30 to 44 years,Female,Nova Scotia,Less than high school diploma or its equivalent,"$10,000 to $149,999",Born in Canada,6,8.023181646169666e-6
30 to 44 years,Female,Nova Scotia,Less than high school diploma or its equivalent,"$150,000 and more",Born in Canada,2,2.6743938820565553e-6
30 to 44 years,Female,Nova Scotia,High school diploma or a high school equivalency certificate,"Less than $25,000",Born in Canada,69,9.226658893095117e-5
30 to 44 years,Female,Nova Scotia,High school diploma or a high school equivalency certificate,"Less than $25,000",Born outside Canada,3,4.011590823084833e-6
30 to 44 years,Female,Nova Scotia,High school diploma or a high school equivalency certificate,"$25,000 to $49,999",Born in Canada,114,1.5244045127722365e-4
30 to 44 years,Female,Nova Scotia,High school diploma or a high school equivalency certificate,"$25,000 to $49,999",Born outside Canada,7,9.360378587197945e-6
30 to 44 years,Female,Nova Scotia,High school diploma or a high school equivalency certificate,"$50,000 to $74,999",Born in Canada,85,1.1366173998740361e-4
30 to 44 years,Female,Nova Scotia,High school diploma or a high school equivalency certificate,"$50,000 to $74,999",Born outside Canada,2,2.6743938820565553e-6
30 to 44 years,Female,Nova Scotia,High school diploma or a high school equivalency certificate,"$75,000 to $99,999",Born in Canada,52,6.953424093347044e-5
30 to 44 years,Female,Nova Scotia,High school diploma or a high school equivalency certificate,"$75,000 to $99,999",Born outside Canada,4,5.348787764113111e-6
30 to 44 years,Female,Nova Scotia,High school diploma or a high school equivalency certificate,"$10,000 to $149,999",Born in Canada,60,8.023181646169666e-5
30 to 44 years,Female,Nova Scotia,High school diploma or a high school equivalency certificate,"$10,000 to $149,999",Born outside Canada,3,4.011590823084833e-6
30 to 44 years,Female,Nova Scotia,High school diploma or a high school equivalency certificate,"$150,000 and more",Born in Canada,17,2.273234799748072e-5
30 to 44 years,Female,Nova Scotia,High school diploma or a high school equivalency certificate,"$150,000 and more",Born outside Canada,2,2.6743938820565553e-6
30 to 44 years,Female,Nova Scotia,"College, CEGEP or other non-university certificate or diploma","Less than $25,000",Born in Canada,7,9.360378587197945e-6
30 to 44 years,Female,Nova Scotia,"College, CEGEP or other non-university certificate or diploma","$25,000 to $49,999",Born in Canada,20,2.6743938820565553e-5
30 to 44 years,Female,Nova Scotia,"College, CEGEP or other non-university certificate or diploma","$50,000 to $74,999",Born in Canada,23,3.075552964365039e-5
30 to 44 years,Female,Nova Scotia,"College, CEGEP or other non-university certificate or diploma","$75,000 to $99,999",Born in Canada,19,2.5406741879537275e-5
30 to 44 years,Female,Nova Scotia,"College, CEGEP or other non-university certificate or diploma","$10,000 to $149,999",Born in Canada,15,2.0057954115424164e-5
30 to 44 years,Female,Nova Scotia,"College, CEGEP or other non-university certificate or diploma","$150,000 and more",Born in Canada,11,1.4709166351311055e-5
30 to 44 years,Female,Nova Scotia,University certificate or diploma below the bachelor's level,"Less than $25,000",Born in Canada,50,6.685984705141389e-5
30 to 44 years,Female,Nova Scotia,University certificate or diploma below the bachelor's level,"Less than $25,000",Born outside Canada,3,4.011590823084833e-6
30 to 44 years,Female,Nova Scotia,University certificate or diploma below the bachelor's level,"$25,000 to $49,999",Born in Canada,161,2.152887075055527e-4
30 to 44 years,Female,Nova Scotia,University certificate or diploma below the bachelor's level,"$25,000 to $49,999",Born outside Canada,3,4.011590823084833e-6
30 to 44 years,Female,Nova Scotia,University certificate or diploma below the bachelor's level,"$50,000 to $74,999",Born in Canada,123,1.6447522374647816e-4
30 to 44 years,Female,Nova Scotia,University certificate or diploma below the bachelor's level,"$50,000 to $74,999",Born outside Canada,1,1.3371969410282777e-6
30 to 44 years,Female,Nova Scotia,University certificate or diploma below the bachelor's level,"$75,000 to $99,999",Born in Canada,146,1.9523075339012853e-4
30 to 44 years,Female,Nova Scotia,University certificate or diploma below the bachelor's level,"$75,000 to $99,999",Born outside Canada,2,2.6743938820565553e-6
30 to 44 years,Female,Nova Scotia,University certificate or diploma below the bachelor's level,"$10,000 to $149,999",Born in Canada,133,1.7784719315676092e-4
30 to 44 years,Female,Nova Scotia,University certificate or diploma below the bachelor's level,"$10,000 to $149,999",Born outside Canada,3,4.011590823084833e-6
30 to 44 years,Female,Nova Scotia,University certificate or diploma below the bachelor's level,"$150,000 and more",Born in Canada,49,6.552265011038561e-5
30 to 44 years,Female,Nova Scotia,Bachelor's degree,"Less than $25,000",Born in Canada,28,3.744151434879178e-5
30 to 44 years,Female,Nova Scotia,Bachelor's degree,"Less than $25,000",Born outside Canada,5,6.685984705141388e-6
30 to 44 years,Female,Nova Scotia,Bachelor's degree,"$25,000 to $49,999",Born in Canada,62,8.290621034375322e-5
